날짜,공시_제목,공시자
2024-09-06,[기재정정]주요사항보고서(전환사채권발행결정),파라텍
2024-09-06,[기재정정]단일판매ㆍ공급계약체결              ,파라텍
2024-09-06,[기재정정]단일판매ㆍ공급계약체결              ,파라텍
2024-09-06,[기재정정]주요사항보고서(전환사채권발행결정),파라텍
2024-09-06,[기재정정]주요사항보고서(유상증자결정),파라텍
2024-08-13,반기보고서 (2024.06),파라텍
2024-07-02,[기재정정]타인에대한채무보증결정              ,파라텍
2024-06-05,[기재정정]단일판매ㆍ공급계약체결              ,파라텍
2024-06-05,[기재정정]단일판매ㆍ공급계약체결              ,파라텍
2024-05-31,기타주요경영사항              (임시주주총회 의안 부결에 따른 회사분할결정 철회),파라텍
2024-05-31,임시주주총회결과              ,파라텍
2024-05-31,[기재정정]주요사항보고서(회사분할결정),파라텍
2024-05-16,의결권대리행사권유참고서류,파라텍
2024-05-16,주주총회소집공고,파라텍
2024-05-14,분기보고서 (2024.03),파라텍
2024-05-13,증권발행결과(자율공시)              (제3자배정-소액공모),파라텍
2024-05-13,소액공모실적보고서,파라텍
2024-05-03,소액공모공시서류(지분증권),파라텍
2024-05-03,주요사항보고서(유상증자결정),파라텍
2024-04-15,주주명부폐쇄기간또는기준일설정              ,파라텍
2024-04-15,주주총회소집결의              (임시주주총회),파라텍
2024-03-27,정기주주총회결과              ,파라텍
2024-03-19,감사보고서제출              ,파라텍
2024-03-19,사업보고서 (2023.12),파라텍
2024-03-12,의결권대리행사권유참고서류,파라텍
2024-03-12,주주총회소집공고,파라텍
2024-03-12,주주총회집중일개최사유신고              ,파라텍
2024-03-12,주주총회소집결의              ,파라텍
2024-02-27,단일판매ㆍ공급계약체결              ,파라텍
2024-02-19,주권매매거래정지해제              (액면병합 주권 변경상장),코스닥시장본부
2024-02-19,매출액또는손익구조30%(대규모법인은15%)이상변동              ,파라텍
2024-02-07,주식등의대량보유상황보고서(일반),휴림인프라투자조합 
2024-02-07,임원ㆍ주요주주특정증권등소유상황보고서,휴림인프라투자조합 
2024-02-05,주식등의대량보유상황보고서(약식),창원기전
2024-01-24,"주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)",코스닥시장본부
2024-01-19,투자판단관련주요경영사항((주)이큐셀 지분매각관련 우선협상대상자 선정),파라텍
2024-01-09,주식등의대량보유상황보고서(약식),창원기전
2023-12-27,사외이사의선임ㆍ해임또는중도퇴임에관한신고,파라텍
2023-12-27,임시주주총회결과,파라텍
2023-12-14,주식등의대량보유상황보고서(약식),율호
2023-12-12,[기재정정]주주총회소집결의(임시주주총회),파라텍
2023-12-12,주주명부폐쇄기간또는기준일설정,파라텍
2023-12-12,주주총회소집공고,파라텍
2023-12-12,의결권대리행사권유참고서류,파라텍
2023-12-08,주식등의대량보유상황보고서(약식),티케이자산
2023-12-07,[기재정정]주식병합결정,파라텍
2023-12-07,전환청구권행사(제1회차),파라텍
2023-12-06,전환청구권행사(제1회차 CB),파라텍
2023-11-15,[기재정정]주주명부폐쇄기간또는기준일설정,파라텍
2023-11-15,타인에대한채무보증결정,파라텍
2023-11-15,타인에대한채무보증결정,파라텍
2023-11-14,분기보고서 (2023.09),파라텍
2023-11-03,전환청구권행사(제2회차),파라텍
2023-10-11,타인에대한채무보증결정,파라텍
2023-10-05,전환가액의조정(제2회차),파라텍
2023-09-05,전환가액의조정(제2회차),파라텍
2023-08-28,불성실공시법인지정(공시불이행),코스닥시장본부
2023-08-14,반기보고서 (2023.06),파라텍
2023-08-09,[기재정정]타법인주식및출자증권취득결정,파라텍
