날짜,공시_제목,공시자
2024-09-11,타법인주식및출자증권처분결정              ,브랜드엑스코퍼레이션
2024-09-10,대표이사변경              ,브랜드엑스코퍼레이션
2024-08-14,반기보고서 (2024.06),브랜드엑스코퍼레이션
2024-08-08,영업(잠정)실적(공정공시)              ,브랜드엑스코퍼레이션
2024-08-08,연결재무제표기준영업(잠정)실적(공정공시)              ,브랜드엑스코퍼레이션
2024-08-02,주식등의대량보유상황보고서(일반),강민준
2024-07-26,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2024-07-08,현금ㆍ현물배당결정              ,브랜드엑스코퍼레이션
2024-06-07,중간(분기)배당을위한주주명부폐쇄(기준일)결정              ,브랜드엑스코퍼레이션
2024-05-16,분기보고서 (2024.03),브랜드엑스코퍼레이션
2024-05-13,연결재무제표기준영업(잠정)실적(공정공시)              ,브랜드엑스코퍼레이션
2024-05-13,영업(잠정)실적(공정공시)              ,브랜드엑스코퍼레이션
2024-04-26,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2024-03-29,주식등의대량보유상황보고서(일반),강민준
2024-03-29,임원ㆍ주요주주특정증권등소유상황보고서,이광호
2024-03-29,정기주주총회결과              ,브랜드엑스코퍼레이션
2024-03-21,감사보고서제출              ,브랜드엑스코퍼레이션
2024-03-21,사업보고서 (2023.12),브랜드엑스코퍼레이션
2024-03-14,주주총회집중일개최사유신고              ,브랜드엑스코퍼레이션
2024-03-14,주주총회소집공고,브랜드엑스코퍼레이션
2024-03-14,주주총회소집결의              ,브랜드엑스코퍼레이션
2024-02-29,주식등의대량보유상황보고서(일반),강민준
2024-02-26,배당락              ,코스닥시장본부
2024-02-07,주식등의대량보유상황보고서(약식),타임폴리오자산운용
2024-02-05,현금ㆍ현물배당결정              ,브랜드엑스코퍼레이션
2024-02-05,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,브랜드엑스코퍼레이션
2024-01-31,주식등의대량보유상황보고서(일반),강민준
2024-01-31,불성실공시법인지정(공시번복),코스닥시장본부
2024-01-31,증권발행결과(자율공시)(제1회차 CB),브랜드엑스코퍼레이션
2024-01-25,주요사항보고서(전환사채권발행결정),브랜드엑스코퍼레이션
2024-01-10,불성실공시법인지정예고(공시번복),코스닥시장본부
2023-12-22,임원ㆍ주요주주특정증권등소유상황보고서,이광호
2023-12-15,단일판매ㆍ공급계약해지,브랜드엑스코퍼레이션
2023-12-15,단일판매ㆍ공급계약해지,브랜드엑스코퍼레이션
2023-12-15,주주명부폐쇄기간또는기준일설정,브랜드엑스코퍼레이션
2023-12-15,기타경영사항(자율공시)(배당기준일 변경 안내),브랜드엑스코퍼레이션
2023-11-14,임원ㆍ주요주주특정증권등소유상황보고서,이광호
2023-11-14,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2023-11-13,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2023-11-13,임원ㆍ주요주주특정증권등소유상황보고서,강민준
2023-11-13,분기보고서 (2023.09),브랜드엑스코퍼레이션
2023-08-14,반기보고서 (2023.06),브랜드엑스코퍼레이션
2023-08-14,주식등의대량보유상황보고서(일반),강민준
2023-07-28,영업(잠정)실적(공정공시),브랜드엑스코퍼레이션
2023-07-28,연결재무제표기준영업(잠정)실적(공정공시),브랜드엑스코퍼레이션
2023-07-07,현금ㆍ현물배당결정(분기배당),브랜드엑스코퍼레이션
2023-07-07,[기재정정]주식매수선택권부여에관한신고,브랜드엑스코퍼레이션
2023-07-07,[기재정정]주식매수선택권부여에관한신고,브랜드엑스코퍼레이션
2023-07-03,임원ㆍ주요주주특정증권등소유상황보고서,강민준
2023-07-03,주식등의대량보유상황보고서(일반),강민준
2023-06-13,중간(분기)배당을위한주주명부폐쇄(기준일)결정,브랜드엑스코퍼레이션
2023-05-12,분기보고서 (2023.03),브랜드엑스코퍼레이션
2023-05-12,주식등의대량보유상황보고서(일반),강민준
2023-04-06,[기재정정]정기주주총회결과,브랜드엑스코퍼레이션
2023-03-28,사외이사의선임ㆍ해임또는중도퇴임에관한신고,브랜드엑스코퍼레이션
2023-03-28,주식등의대량보유상황보고서(일반),강민준
2023-03-20,사업보고서 (2022.12),브랜드엑스코퍼레이션
2023-03-20,감사보고서제출,브랜드엑스코퍼레이션
2023-03-20,[기재정정]주주총회소집공고,브랜드엑스코퍼레이션
2023-03-13,주주총회소집결의,브랜드엑스코퍼레이션
2023-02-20,주식등의대량보유상황보고서(일반),강민준
2023-02-20,매출액또는손익구조30%(대규모법인은15%)이상변동,브랜드엑스코퍼레이션
2023-02-20,현금ㆍ현물배당결정,브랜드엑스코퍼레이션
2023-02-10,주식등의대량보유상황보고서(약식),한국투자파트너스
2023-02-06,주식등의대량보유상황보고서(약식),우리벤처파트너스
2022-12-16,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,브랜드엑스코퍼레이션
2022-12-16,주주명부폐쇄기간또는기준일설정,브랜드엑스코퍼레이션
2022-11-18,임원ㆍ주요주주특정증권등소유상황보고서,강민준
2022-11-18,주식등의대량보유상황보고서(일반),강민준
2022-11-14,분기보고서 (2022.09),브랜드엑스코퍼레이션
2022-11-10,연결재무제표기준영업(잠정)실적(공정공시),브랜드엑스코퍼레이션
2022-11-10,영업(잠정)실적(공정공시),브랜드엑스코퍼레이션
2022-10-25,주식소각결정,브랜드엑스코퍼레이션
2022-10-24,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2022-08-23,주식등의대량보유상황보고서(일반),강민준
2022-08-23,임시주주총회결과,브랜드엑스코퍼레이션
2022-08-16,반기보고서 (2022.06),브랜드엑스코퍼레이션
2022-08-08,주주총회소집공고,브랜드엑스코퍼레이션
2022-08-08,주주총회소집결의,브랜드엑스코퍼레이션
2022-07-14,주주명부폐쇄기간또는기준일설정,브랜드엑스코퍼레이션
2022-07-04,현금ㆍ현물배당결정(중간배당),브랜드엑스코퍼레이션
2022-06-24,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2022-06-14,중간(분기)배당을위한주주명부폐쇄(기준일)결정,브랜드엑스코퍼레이션
2022-06-10,신탁계약해지결과보고서,브랜드엑스코퍼레이션
2022-05-18,[기재정정]분기보고서 (2022.03),브랜드엑스코퍼레이션
2022-05-11,주식등의대량보유상황보고서(일반),강민준
2022-03-24,정기주주총회결과,브랜드엑스코퍼레이션
2022-03-16,감사보고서제출,브랜드엑스코퍼레이션
2022-03-16,사업보고서 (2021.12),브랜드엑스코퍼레이션
2022-03-08,신탁계약에의한취득상황보고서,브랜드엑스코퍼레이션
2022-03-08,주주총회소집공고,브랜드엑스코퍼레이션
2022-03-08,[기재정정]주주총회소집결의,브랜드엑스코퍼레이션
2022-02-14,현금ㆍ현물배당결정,브랜드엑스코퍼레이션
2022-02-14,매출액또는손익구조30%(대규모법인은15%)이상변동,브랜드엑스코퍼레이션
2022-02-09,임원ㆍ주요주주특정증권등소유상황보고서,이창우
2022-01-28,자기주식처분결과보고서,브랜드엑스코퍼레이션
2022-01-28,주요사항보고서(자기주식처분결정),브랜드엑스코퍼레이션
2022-01-28,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2022-01-07,신탁계약해지결과보고서,브랜드엑스코퍼레이션
2021-12-15,주주명부폐쇄기간또는기준일설정,브랜드엑스코퍼레이션
2021-12-15,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,브랜드엑스코퍼레이션
2021-12-06,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2021-12-06,임원ㆍ주요주주특정증권등소유상황보고서,강교혁
2021-12-06,주요사항보고서(자기주식취득신탁계약체결결정),브랜드엑스코퍼레이션
2021-11-23,분기보고서 (2021.09),브랜드엑스코퍼레이션
2021-11-23,주식등의대량보유상황보고서(일반),강민준
2021-11-09,임원ㆍ주요주주특정증권등소유상황보고서,강민준
2021-11-09,타법인주식및출자증권취득결정,브랜드엑스코퍼레이션
2021-11-03,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2021-11-03,주식등의대량보유상황보고서(약식),우리벤처파트너스
2021-10-29,영업(잠정)실적(공정공시),브랜드엑스코퍼레이션
2021-10-29,연결재무제표기준영업(잠정)실적(공정공시),브랜드엑스코퍼레이션
2021-10-14,현금ㆍ현물배당결정,브랜드엑스코퍼레이션
2021-10-14,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2021-10-08,신탁계약에의한취득상황보고서,브랜드엑스코퍼레이션
2021-10-08,주식등의대량보유상황보고서(일반),강민준
2021-10-08,임원ㆍ주요주주특정증권등소유상황보고서,최고은
2021-10-08,임원ㆍ주요주주특정증권등소유상황보고서,강교혁
2021-10-08,임원ㆍ주요주주특정증권등소유상황보고서,박희종
2021-10-08,임원ㆍ주요주주특정증권등소유상황보고서,강민준
2021-10-07,임원ㆍ주요주주특정증권등소유상황보고서,이광호
2021-09-27,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2021-09-23,기업설명회(IR)개최,브랜드엑스코퍼레이션
2021-09-13,주식등의대량보유상황보고서(약식),우리벤처파트너스
2021-09-09,중간(분기)배당을위한주주명부폐쇄(기준일)결정,브랜드엑스코퍼레이션
2021-09-06,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2021-08-30,반기보고서 (2021.06),브랜드엑스코퍼레이션
2021-08-30,권리락(무상증자),코스닥시장본부
2021-08-25,주식등의대량보유상황보고서(일반),강민준
2021-08-25,임원ㆍ주요주주특정증권등소유상황보고서,강민준
2021-08-17,주주명부폐쇄기간또는기준일설정,브랜드엑스코퍼레이션
2021-08-17,주요사항보고서(무상증자결정),브랜드엑스코퍼레이션
2021-08-17,주권매매거래정지(무상증자),코스닥시장본부
2021-08-13,임시주주총회결과,브랜드엑스코퍼레이션
2021-08-03,영업(잠정)실적(공정공시),브랜드엑스코퍼레이션
2021-08-03,연결재무제표기준영업(잠정)실적(공정공시),브랜드엑스코퍼레이션
2021-07-27,주주총회소집공고,브랜드엑스코퍼레이션
2021-07-08,임원ㆍ주요주주특정증권등소유상황보고서,박희종
2021-07-08,임원ㆍ주요주주특정증권등소유상황보고서,박대훈
2021-07-08,임원ㆍ주요주주특정증권등소유상황보고서,최고은
2021-07-08,임원ㆍ주요주주특정증권등소유상황보고서,강교혁
2021-07-08,주식등의대량보유상황보고서(일반),강민준
2021-07-02,주주명부폐쇄기간또는기준일설정,브랜드엑스코퍼레이션
2021-07-02,주주총회소집결의,브랜드엑스코퍼레이션
2021-07-02,주요사항보고서(자기주식취득신탁계약체결결정),브랜드엑스코퍼레이션
2021-07-01,주요사항보고서(자기주식처분결정),브랜드엑스코퍼레이션
2021-07-01,주식매수선택권행사,브랜드엑스코퍼레이션
2021-05-31,분기보고서 (2021.03),브랜드엑스코퍼레이션
2021-05-07,영업(잠정)실적(공정공시),브랜드엑스코퍼레이션
2021-05-07,연결재무제표기준영업(잠정)실적(공정공시),브랜드엑스코퍼레이션
2021-04-30,소속부변경,코스닥시장본부
2021-04-07,임원ㆍ주요주주특정증권등소유상황보고서,강민준
2021-03-26,사외이사의선임ㆍ해임또는중도퇴임에관한신고,브랜드엑스코퍼레이션
2021-03-26,정기주주총회결과,브랜드엑스코퍼레이션
2021-03-24,사외이사의선임ㆍ해임또는중도퇴임에관한신고,브랜드엑스코퍼레이션
2021-03-18,사업보고서 (2020.12),브랜드엑스코퍼레이션
2021-03-18,감사보고서제출,브랜드엑스코퍼레이션
2021-03-10,[기재정정]주주총회소집공고,브랜드엑스코퍼레이션
2021-03-10,주식등의대량보유상황보고서(약식),타이거자산운용투자일임
2021-03-09,주주총회집중일개최사유신고,브랜드엑스코퍼레이션
2021-03-04,주식등의대량보유상황보고서(일반),강민준
2021-03-02,[기재정정]주주총회소집결의,브랜드엑스코퍼레이션
2021-02-17,신탁계약해지결과보고서,브랜드엑스코퍼레이션
2021-02-16,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,강민준
2021-02-15,매출액또는손익구조30%(대규모법인은15%)이상변동,브랜드엑스코퍼레이션
2021-02-15,주요사항보고서(자기주식취득신탁계약해지결정),브랜드엑스코퍼레이션
2021-01-14,임원ㆍ주요주주특정증권등소유상황보고서,강민준
2021-01-12,자기주식처분결과보고서,브랜드엑스코퍼레이션
2021-01-12,신탁계약해지결과보고서,브랜드엑스코퍼레이션
2021-01-12,주요사항보고서(자기주식처분결정),브랜드엑스코퍼레이션
2021-01-08,현금ㆍ현물배당결정(현금ㆍ현물배당 결정),브랜드엑스코퍼레이션
2021-01-07,주요사항보고서(자기주식취득신탁계약해지결정),브랜드엑스코퍼레이션
2021-01-05,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2020-12-17,단일판매ㆍ공급계약체결,브랜드엑스코퍼레이션
2020-12-17,단일판매ㆍ공급계약체결,브랜드엑스코퍼레이션
2020-12-15,주주명부폐쇄기간또는기준일설정,브랜드엑스코퍼레이션
2020-11-30,분기보고서 (2020.09),브랜드엑스코퍼레이션
2020-11-19,[기재정정]타법인주식및출자증권취득결정(자율공시),브랜드엑스코퍼레이션
2020-11-17,[기재정정]기업설명회(IR)개최,브랜드엑스코퍼레이션
2020-11-16,신탁계약에의한취득상황보고서,브랜드엑스코퍼레이션
2020-11-09,임원ㆍ주요주주특정증권등소유상황보고서,이광호
2020-11-09,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,강민준
2020-11-05,영업(잠정)실적(공정공시),브랜드엑스코퍼레이션
2020-11-05,연결재무제표기준영업(잠정)실적(공정공시),브랜드엑스코퍼레이션
2020-08-31,주식등의대량보유상황보고서(약식),우리벤처파트너스
2020-08-26,임원ㆍ주요주주특정증권등소유상황보고서,강교혁
2020-08-20,임원ㆍ주요주주특정증권등소유상황보고서,박희종
2020-08-20,임원ㆍ주요주주특정증권등소유상황보고서,이수연
2020-08-20,주식등의대량보유상황보고서(일반),강민준
2020-08-20,임원ㆍ주요주주특정증권등소유상황보고서,강민준
2020-08-20,주식등의대량보유상황보고서(약식),우리벤처파트너스
2020-08-19,주식등의대량보유상황보고서(약식),한국투자파트너스
2020-08-19,주식등의대량보유상황보고서(약식),타이거자산운용투자일임
2020-08-14,주요사항보고서(자기주식취득신탁계약체결결정),브랜드엑스코퍼레이션
2020-08-10,증권발행실적보고서,브랜드엑스코퍼레이션
2020-08-03,[기재정정]투자설명서,브랜드엑스코퍼레이션
2020-08-03,[발행조건확정]증권신고서(지분증권),브랜드엑스코퍼레이션
2020-04-23,연결감사보고서 (2019.12),선명회계법인
2020-04-23,감사보고서 (2019.12),선명회계법인
