날짜,공시_제목,공시자
2024-10-11,"투자판단관련주요경영사항              (미국 국제무역위원회(ITC, International Trade Commission) 최종심결 결과 확인)",휴젤
2024-09-27,신탁계약해지결과보고서,휴젤
2024-08-30,대규모기업집단현황공시[분기별공시(개별회사용)],휴젤
2024-08-27,주요사항보고서(자기주식처분결정),휴젤
2024-08-16,신탁계약해지결과보고서,휴젤
2024-08-14,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,휴젤
2024-08-14,반기보고서 (2024.06),휴젤
2024-08-09,풍문또는보도에대한해명(미확정)              ,휴젤
2024-08-07,[기재정정]주식매수선택권부여에관한신고,휴젤
2024-08-07,본점소재지변경              ,휴젤
2024-08-07,기업설명회(IR)개최              ,휴젤
2024-08-07,연결재무제표기준영업(잠정)실적(공정공시)              ,휴젤
2024-07-31,결산실적공시예고              ,휴젤
2024-07-31,기업설명회(IR)개최              ,휴젤
2024-06-28,기타시장안내              (업종변경 안내),코스닥시장본부
2024-06-28,신탁계약에의한취득상황보고서,휴젤
2024-06-11,"투자판단관련주요경영사항              (미국 국제무역위원회ITC, International Trade Commission 예비심결 결과 확인)",휴젤
2024-06-05,[기재정정]전환청구권행사              ,휴젤
2024-05-31,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],휴젤
2024-05-16,신탁계약에의한취득상황보고서,휴젤
2024-05-16,신탁계약해지결과보고서,휴젤
2024-05-14,분기보고서 (2024.03),휴젤
2024-05-10,풍문또는보도에대한해명(미확정)              ,휴젤
2024-05-09,연결재무제표기준영업(잠정)실적(공정공시)              ,휴젤
2024-05-09,기업설명회(IR)개최              ,휴젤
2024-05-02,기업설명회(IR)개최              ,휴젤
2024-05-02,결산실적공시예고              ,휴젤
2024-04-09,주식등의대량보유상황보고서(약식),MassachusettsFinancialServicesCompany
2024-03-29,정기주주총회결과              ,휴젤
2024-03-28,기타경영사항(자율공시)              (약사법 위반 1심 판결에 대한 피고 항소의 건),휴젤
2024-03-27,주요사항보고서(자기주식취득신탁계약체결결정),휴젤
