날짜,공시_제목,공시자
2024-04-26,주요사항보고서(자기전환사채매도결정),이엔플러스
2024-04-22,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,이엔플러스
2024-04-15,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,이엔플러스
2024-04-11,기타안내사항(안내공시)              ,이엔플러스
2024-04-04,단일판매ㆍ공급계약체결              ,이엔플러스
2024-04-01,주요사항보고서(자기전환사채매도결정),이엔플러스
2024-03-29,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이엔플러스
2024-03-29,정기주주총회결과              ,이엔플러스
2024-03-21,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,이엔플러스
2024-03-21,사업보고서 (2023.12),이엔플러스
2024-03-21,감사보고서제출              ,이엔플러스
2024-03-19,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,이엔플러스
2024-03-18,[기재정정]주주총회소집공고,이엔플러스
2024-03-13,[기재정정]의결권대리행사권유참고서류,이엔플러스
2024-03-12,[기재정정]주주총회집중일개최사유신고              ,이엔플러스
2024-03-12,주주총회소집결의              ,이엔플러스
2024-03-08,[기재정정]주식등의대량보유상황보고서(약식),한국채권투자운용
2024-03-06,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,이엔플러스
2024-02-28,유상증자또는주식관련사채등의발행결과(자율공시)              ,이엔플러스
2024-02-28,[첨부정정]주요사항보고서(전환사채권발행결정),이엔플러스
2024-02-28,매출액또는손익구조30%(대규모법인은15%)이상변경              ,이엔플러스
2024-02-21,[기재정정]주요사항보고서(유상증자결정),이엔플러스
2024-02-21,[기재정정]주요사항보고서(유상증자결정),이엔플러스
2024-02-13,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,이엔플러스
2024-01-22,최대주주변경,이엔플러스
2024-01-22,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),이엔플러스
2024-01-15,[기재정정]전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),이엔플러스
2024-01-15,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2024-01-15,[기재정정]주요사항보고서(전환사채권발행결정),이엔플러스
2024-01-11,타법인주식및출자증권취득결정,이엔플러스
2023-12-27,대표이사(대표집행임원)변경(안내공시),이엔플러스
2023-12-26,[기재정정]주요사항보고서(전환사채권발행결정),이엔플러스
2023-12-22,[기재정정]타법인주식및출자증권취득결정,이엔플러스
2023-12-22,[기재정정]단일판매ㆍ공급계약체결,이엔플러스
2023-12-21,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2023-11-28,[기재정정]주요사항보고서(유형자산양도결정),이엔플러스
2023-11-14,[기재정정]반기보고서 (2023.06),이엔플러스
2023-11-14,분기보고서 (2023.09),이엔플러스
2023-11-09,타법인주식및출자증권취득결정,이엔플러스
2023-10-13,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2023-09-27,임원ㆍ주요주주특정증권등소유상황보고서,강태경
2023-09-27,[기재정정]타인에대한채무보증결정,이엔플러스
2023-09-26,[기재정정]타인에대한담보제공결정,이엔플러스
2023-09-26,주요사항보고서(전환사채권발행결정),이엔플러스
2023-09-26,타법인주식및출자증권취득결정,이엔플러스
2023-06-30,주요사항보고서(타법인주식및출자증권양도결정),이엔플러스
2023-06-19,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2023-06-16,[첨부정정]주요사항보고서(전환사채권발행결정),이엔플러스
2023-06-08,신규시설투자등,이엔플러스
2023-05-30,[기재정정]단일판매ㆍ공급계약체결,이엔플러스
2023-05-15,분기보고서 (2023.03),이엔플러스
2023-05-09,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2023-05-08,[첨부정정]주요사항보고서(전환사채권발행결정),이엔플러스
2023-04-26,[기재정정]주식매수선택권부여에관한신고,이엔플러스
2023-04-26,[기재정정]주식매수선택권부여에관한신고,이엔플러스
2023-04-26,[기재정정]주식매수선택권부여에관한신고,이엔플러스
2023-04-20,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2023-04-19,[첨부정정]주요사항보고서(전환사채권발행결정),이엔플러스
2023-04-17,조회공시요구(풍문또는보도)에대한답변(부인),이엔플러스
2023-04-05,기타안내사항(안내공시)(보통주 의무보유(보호예수)기간 만료),이엔플러스
2023-03-30,정기주주총회결과,이엔플러스
2023-03-28,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2023-03-27,대표이사(대표집행임원)변경(안내공시),이엔플러스
2023-03-27,[기재정정]주요사항보고서(유상증자결정),이엔플러스
2023-03-22,사업보고서 (2022.12),이엔플러스
2023-03-21,감사보고서제출,이엔플러스
2023-03-13,주주총회집중일개최사유신고,이엔플러스
2023-03-13,주주총회소집결의,이엔플러스
2023-03-13,주주총회소집공고,이엔플러스
2023-03-13,의결권대리행사권유참고서류,이엔플러스
2023-03-03,[기재정정]단일판매ㆍ공급계약체결,이엔플러스
2023-02-28,매출액또는손익구조30%(대규모법인은15%)이상변경,이엔플러스
2023-02-09,최대주주등소유주식변동신고서,이엔플러스
2023-02-08,주식등의대량보유상황보고서(일반),에이팀하모니제1호사모투자
2023-01-03,조회공시요구(풍문또는보도)에대한답변(미확정),이엔플러스
2022-12-09,주식등의대량보유상황보고서(약식),임권일
2022-12-09,주식등의대량보유상황보고서(약식),임권일
2022-12-06,[기재정정]주요사항보고서(전환사채권발행결정),이엔플러스
2022-12-06,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2022-12-05,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),이엔플러스
2022-11-21,임원ㆍ주요주주특정증권등소유상황보고서,강태경
2022-11-14,분기보고서 (2022.09),이엔플러스
2022-11-09,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2022-11-08,[기재정정]주요사항보고서(전환사채권발행결정),이엔플러스
2022-10-31,투자판단관련주요경영사항,이엔플러스
2022-10-14,[기재정정]단일판매ㆍ공급계약체결,이엔플러스
2022-10-07,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,강태경
2022-09-27,임원ㆍ주요주주특정증권등소유상황보고서,강태경
2022-09-27,[기재정정]신규시설투자등,이엔플러스
2022-09-20,투자판단관련주요경영사항(특허권 취득),이엔플러스
2022-09-05,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),이엔플러스
2022-08-24,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),이엔플러스
2022-08-16,반기보고서 (2022.06),이엔플러스
2022-07-08,주식등의대량보유상황보고서(약식),한국채권투자운용
2022-07-05,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),이엔플러스
2022-07-05,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2022-07-05,[기재정정]주요사항보고서(전환사채권발행결정),이엔플러스
2022-07-04,조회공시요구(풍문또는보도)에대한답변(미확정),이엔플러스
2022-07-01,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2022-06-29,주요사항보고서(타법인주식및출자증권양수결정),이엔플러스
2022-06-24,[기재정정]주요사항보고서(전환사채권발행결정),이엔플러스
2022-06-15,임원ㆍ주요주주특정증권등소유상황보고서,강태경
2022-06-03,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2022-06-03,[기재정정]주요사항보고서(전환사채권발행결정),이엔플러스
2022-05-24,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2022-05-23,[기재정정]주요사항보고서(전환사채권발행결정),이엔플러스
2022-05-13,분기보고서 (2022.03),이엔플러스
2022-05-10,주식등의대량보유상황보고서(약식),상상인저축은행
2022-04-19,타법인주식및출자증권취득결정,이엔플러스
2022-04-07,풍문또는보도에대한해명,이엔플러스
2022-04-04,풍문또는보도에대한해명(미확정),이엔플러스
2022-03-31,[기재정정]사업보고서 (2021.12),이엔플러스
2022-03-31,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이엔플러스
2022-03-31,정기주주총회결과,이엔플러스
2022-03-28,타법인주식및출자증권취득결정,이엔플러스
2022-03-25,유상증자또는주식관련사채등의발행결과(자율공시),이엔플러스
2022-03-25,최대주주등소유주식변동신고서(최대주주변경시),이엔플러스
2022-03-23,[첨부정정]감사보고서제출,이엔플러스
2022-03-22,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변경,이엔플러스
2022-03-22,[기재정정]주요사항보고서(유상증자결정),이엔플러스
2022-03-18,[기재정정]투자판단관련주요경영사항,이엔플러스
2022-03-16,[기재정정]의결권대리행사권유참고서류,이엔플러스
2022-03-16,[기재정정]주주총회소집공고,이엔플러스
2022-03-14,주주총회집중일개최사유신고,이엔플러스
2022-03-14,[기재정정]주주총회소집결의,이엔플러스
2022-03-07,단일판매ㆍ공급계약체결,이엔플러스
2022-02-28,주식등의대량보유상황보고서(약식),오에스티에이
2022-02-28,주식등의대량보유상황보고서(일반),에이팀하모니제1호사모투자
2022-02-25,[기재정정]타법인주식및출자증권취득결정,이엔플러스
2022-02-22,최대주주변경,이엔플러스
2022-02-18,주식등의대량보유상황보고서(일반),오에스티에이
2022-02-16,대표이사(대표집행임원)변경(안내공시),이엔플러스
2022-02-10,주식등의대량보유상황보고서(일반),오에스티에이
2022-02-09,주식등의대량보유상황보고서(일반),에이팀하모니제1호사모투자
2022-01-05,투자판단관련주요경영사항(특허권 취득),이엔플러스
2022-01-04,조회공시요구(풍문또는보도)에대한답변(미확정),이엔플러스
2021-12-27,주식등의대량보유상황보고서(일반),에이팀하모니제1호사모투자
2021-12-27,주식등의대량보유상황보고서(일반),오에스티에이
2021-12-23,주식등의대량보유상황보고서(약식),상상인저축은행
2021-12-20,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),이엔플러스
2021-12-17,주식등의대량보유상황보고서(일반),에이팀하모니제1호사모투자
2021-12-17,주식등의대량보유상황보고서(일반),오에스티에이
2021-12-17,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),이엔플러스
2021-12-06,주식등의대량보유상황보고서(일반),에이팀하모니제1호사모투자
2021-12-03,주식등의대량보유상황보고서(일반),오에스티에이
2021-12-03,임원ㆍ주요주주특정증권등소유상황보고서,강태경
2021-11-15,주식등의대량보유상황보고서(일반),오에스티에이
2021-11-15,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),이엔플러스
2021-11-12,분기보고서 (2021.09),이엔플러스
2021-11-04,주식등의대량보유상황보고서(일반),에이팀하모니제1호사모투자
2021-11-04,주식등의대량보유상황보고서(일반),오에스티에이
2021-10-27,주식등의대량보유상황보고서(일반),오에스티에이
2021-10-06,[기재정정]주식등의대량보유상황보고서(일반),오에스티에이
2021-10-01,[기재정정]단일판매ㆍ공급계약체결,이엔플러스
2021-09-30,임시주주총회결과,이엔플러스
2021-09-30,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이엔플러스
2021-09-17,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),이엔플러스
2021-09-15,최대주주등소유주식변동신고서(최대주주변경시),이엔플러스
2021-09-15,[기재정정]의결권대리행사권유참고서류,이엔플러스
2021-09-15,주주총회소집공고,이엔플러스
2021-09-15,[기재정정]주주총회소집결의,이엔플러스
2021-09-10,주식등의대량보유상황보고서(일반),오에스티에이
2021-08-24,주식등의대량보유상황보고서(일반),오에스티에이
2021-08-18,주요사항보고서(타법인주식및출자증권양도결정),이엔플러스
2021-08-13,반기보고서 (2021.06),이엔플러스
2021-08-03,주식등의대량보유상황보고서(일반),오에스티에이
2021-08-03,최대주주변경,이엔플러스
2021-08-03,대표이사(대표집행임원)변경(안내공시),이엔플러스
2021-08-02,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이엔플러스
2021-07-29,주식등의대량보유상황보고서(일반),오에스티에이
2021-07-28,대표이사(대표집행임원)변경(안내공시),이엔플러스
2021-07-21,최대주주변경,이엔플러스
2021-07-20,대표이사(대표집행임원)변경(안내공시),이엔플러스
2021-07-15,대표이사(대표집행임원)변경(안내공시),이엔플러스
2021-07-08,주식등의대량보유상황보고서(일반),오에스티에이
2021-07-05,조회공시요구(풍문또는보도)에대한답변(미확정),이엔플러스
2021-07-01,주식등의대량보유상황보고서(일반),오에스티에이
2021-06-18,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이엔플러스
2021-06-18,임시주주총회결과,이엔플러스
2021-06-17,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),이엔플러스
2021-06-04,[기재정정]주식등의대량보유상황보고서(일반),오에스티에이
2021-06-04,임원ㆍ주요주주특정증권등소유상황보고서,안영용
2021-06-02,의결권대리행사권유참고서류,이엔플러스
2021-06-02,주주총회소집공고,이엔플러스
2021-05-31,[기재정정]주주총회소집결의,이엔플러스
2021-05-31,최대주주등소유주식변동신고서(최대주주변경시),이엔플러스
2021-05-25,최대주주변경,이엔플러스
2021-05-14,분기보고서 (2021.03),이엔플러스
2021-05-13,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),이엔플러스
2021-04-13,투자판단관련주요경영사항(특허권취득),이엔플러스
